too much small amount | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
 ordered beef curry there was small pcs of meat quantity was so small | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
will put mahi s kitchen as number among the services that provide home cooking their food has the taste of pure home cooking  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
after saying that the amount of food was increased thank you | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
laitya shutki dal spinach was a lot of fun the amount of rice and spinach should be increased a little more  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
delicious food if the amount is increased a little it will be  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
i am in love with their pudding please keep this quality as always | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
as usual my favourite | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
worst food suppiler | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
beef was very oily and i think they give huge ginger paste in beef not tasty | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
beef curry was poor and short won t order again  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
good | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
love ordering from them fresh and delicious food always  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
beef taste was okay but amount was less small pieces and bone however giving stars next time i won t  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
cute packaging and taste was good but beef curry was little spicy and short please keep it up  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
the bhorta was delicious thank you really hoped the pudding pieces were a little big but the food was yum  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
delicious food serving manner is really good  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
it was tasty reordered | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
chutki bharta was good pumpkin bharta was very salty add two roasted dry chillies without adding too much salt if necessary someone can increase the shield ordered dal bhuna thin dal delivered  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
tastes like home made food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
it was tasteless i ordered achari kichuri instead they delivered plain kichuri with chicken roast which is normally served with the morog polao this combination was so disgusting and it was s | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
no egg and salad | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
there was no egg and salad | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
quantity was less in boxes out of boxes khichuri was salty also quality was not good may it was the last food of the day  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
etto baje khechuri er age ami kokhono khai nai egulo kivabe apnara manush ke serve koren sob rokom er dal diye khechuri banaisen tao jodi dal gulo valo vabe seddho hoi khube kharap laglo bisoy ta | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
khichuri r polau ta item a chicken ekdom choto pc chilo eita quarter size dey shob restaurant but onara dilo qtr er half size khub e surprising ageo tader theke order korsi but ato kharap paini | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
does not serve salad with meals | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
they didn t serve egg with the chicken biriyani  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
they didn t even give me my full order but took full money | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the food was stale totally waste of money the food was smelling like garbage  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the quantity of food is very less compared to the price and got food after minutes  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the chicken was also not good at all the quantity was also less than any other store not getting home delivery anywhere forced to order here this kind of food quality is not desirable at all i draw attention to this matter  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
faltu order korlam achari chicken khichuri r dilo ta ki chicken er misti kono akta kisu banaisilo jeta khichurite diye chalay dise dekhei mood kharap hoye gese r khabo kibhabe very disappointing | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
would appreciate if the food had come in the previous black plastic type box otherwise everything was okay | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
i have not received the food  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the food disaster and the amount is also very poor  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
 junk food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
very dry food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
kutar gu er moto khai ta nanna biriyani is better | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
received food delivery around after hours if so i don t think i will order food again it is very sad  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
morog polao te jhol ta ektu beshi diley valo hoto khay moja lagsey kintu dry hoisey jhol kom dear karone | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the chicken khichuri was good | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
good | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the food is good but the quantity is so low that i could not imagine the size of one quart of chicken seems to be grams i wonder how many villages the chicken is from | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the amount of broth was very low  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
they used to provide in a black bowl cutlery before now they switched to foil thats why less star and another for not giving gravy at all and achari khichuri te achar er amount onek kom | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
ordered chicken achari khichuri but didn t get pickle no pickle test but khichuri ok  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
very good and hygiene | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
very low quality | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food was musty very less in amount and egg was rotten  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
always best  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
it was good but after eating he had a little problem in his stomach | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
perfect cooking and very hygienic packaging | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
have never had such a bad chicken in my life the chicken pieces were so big the chicken pieces were very small very bad and less quantity  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
 i ordered chicken khichuri taka but they have delivered polao and chicken roast the price of which is not even taka the delivery boy took the complaint they said they would send the food and did not send it | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
khichuri ta vlo cilo but ahchar ta ekdom baje | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
chicken pieces were uncooked  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
good food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the hatching of such bad eggs was very less i do not understand why so little on top of that again stale food please no one order their food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
khichuri is all time best | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
vai legit best cheff er dekha paile chumma dimu fs best food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
faizlami has a limit seeing that the business is going well he stops feeding people junk he named it achari khichuri no pickles extra turmeric in khichuri azira  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
this food was very cold refund my money | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
khub e baje silo khabar morog polao er chicken ta jno onkdin ager kena khub e dry clo khichuri tao nosto silo amr khaoa shob thke baje morog polao khichuri | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the food was cold | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the taste of khichuri getting down very dry and tasteless day by day  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
junk food  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
dim khichuri had no gravy for the eggs i got a big hair in khichuri but their khichuri in mustard oil was very tasty and spicy the packaging was pretty good  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
chicken roast polao is good | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
ja natok ta dekhailen vi i m to obak | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food was good will order next time | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
ordered one delivered another | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
chicken roast polao ta tasty chhilo khabar er quantity perfect chhilo and packaging o ta valo  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food taste really good but quantity is quite low  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
all the food is smelly had to throw away | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
 the quantity of khichuri would have been better saad is okay | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
so much well behaved and friendly | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food quality was not so good especially meet was not properly cooked  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
salad dey ni poor service  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
rice was hard also food lacks flavor however it is very cheap so you get what you paid for | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
it took hour to deliver the meal was good  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
 very good | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
morog polao onek mishti chilo packaging valo chilo  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
majhe moddhe khabar nia bitlami koren amra ki apnader beyai lagi | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the portion was too small its a frog leg probably  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
very bad experience food came after waiting for more than hour still the quality of food is very poor  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
chicken was good | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
their food is pet | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
dope food loved it | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
very bad | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
good food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
quantity sucks  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
 no achari flavor not worth it at all  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food was tasty n warm but the portion size was super small i ordered egg achari khichuri  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
taste little salty achari flavor should increase portions comparing to price khichuri chicken size was not satisfying quality looks good fresh overall good  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
why do you provide such cheap food we take food with money if u provide food without money dn maybe it will be ok but after taking so much money why ru serving such cheap food  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
totally disappointed plain khichuri quantity is not suitable by mentioned prices  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the quality and quantity of food was so bad  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food was smelling bad | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
bro the quality of the food is good but there was nothing with the cucumber and lemon there was not much broth with the roast and it was completely dry i hope you will monitor this  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food is good and tasty should provide extra gravy separately as it will increase the quality of your services all the best  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
 achari khichuri was patient food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
no achar no spices in achari khichuri  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
according to price quantity is so poor for person  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
very good food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
very good in taste packaging | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
chicken polao ta mota chilo | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food was fresh and tasty  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
good food | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
uncooked | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
taste good but the pieces of meat are very small and the amount is fair  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
just very bad the food taste so bad that i wanna puke worst tehari i ve ever eaten even the quantity is so less just waste of money  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
you guys are life savers for bachelors  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
it s good | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
polao was good but i couldn t take it in time so i had to eat it cold parcel pickup is not available i didn t know  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
ordered at pick up but i didn t know that home delivery is not done at pick up so here is the router here gave me last time through him i took it at pm i have no words to thank him | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the food was rotten and i threw it away | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
much better was the cockerel that packaging is also very nice it seemed to be cooked right away very good performance thank you you will not be there for us | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
tehari was great excellent  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
i ve ordered from here before but this time the food quality was so bad i have the worst stomach ache and diarrhea after eating their food  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
etto jhal j vaba jayna ekjn jhal khaoa manush er eta khete irritation hole eta ki poriman jhal diyeche bujhben this is kind of nonsense  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
worst food i have ever had | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food quality was too poor | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the food was delicious liked it | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
what kind of this behaviour food panda i order tehari and polao ghor s beef tehari but the delivery boy deliver me from tge other restaurant why do they do that such a bad platform  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
ordered chicken polao the rice was hard and the taste was horrible very disappointing  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
tastes really nice packaging is top notch surely ordering more i would suggest to use a bit more spices in tehari other than that its got a really nice mustard oil aroma  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
achari khichuri was the best so far totally worth the money and taste  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the authentic shorishatehariteast dilverd with cool black box nice packing and really teast on price | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
very nice tehary oshadharon beef er pices r ta baralei aro beshi valo lakbe thanks | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
khabar khub valo chilo apnader review dekhe order korte chachilam na pore order korlam alhamdulillah valo hoche amar order item thanks | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
masha allah onk shundor khabar | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
never mind one thing when i ordered for the first time i got very good food when amin ordered for the nd time why do you want to give such bad food it is good to give less amount then do you need to give a discount  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
not fresh thin toilet after eating  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
there was stale food and according to the price the quantity is very less does the rider check the food and whether the food is good or bad  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
onk kom khabar | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
that was one of the best achari khichuri ever amazing  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food and packing was good i am impressed but meet should need a little bit more soft  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
good | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
less than average quality food me my family members and guests will never place any order here one time business  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
should improve food quality but package is too good  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
yammy excellent  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
chicken was too small in chicken roast polau beef tehari was good  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
excellent | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
standard packaging keep it up  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
foul khub baje | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
worst taste | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the meal was so good but the weight of food is deficient  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
valo chilo kintu khichuri ta arektu soft hole valo hoto | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
very good they maintain quality food less oily good taste less spicy excellent | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
good | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food tastes ar so good salad quantity is poor | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food quantity was so poor they used to give perfect portion for and price was reasonable too  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
rice is not fully cooked remains absolutely solid  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
i don t think that this menu can be called kala bhuna  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
kala vuna was not kala bhunauna they do not know what is kala bhuna | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
not so well | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
excellent | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
the best it was very hot the amount of beef is more was the smell of mustard with the delivery mantao jose ordered very quickly | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
roast polaw onek tasty | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
good portion yammy taste thanks | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
food was spicy added instructions but still  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
smelled bad | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
dear sir apnader mealti khub baje chilo akta box pura balu balu legeche ami r apnader khabar order korbo na  | Restaurant: Tehari & Polao Ghor - Mohammadpur | Cuisine: Indian | City: Dhaka
pizza ta joss | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
this is no right  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
foor amount was so less and also taste is not good | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
low quality cheese just a waste of money poor review  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
ordered again just love their dishes the rice is especially delicious | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
